genes	AMC_22.2_FPKM
A1BG	1.02533
A1BG-AS1	0.239548
A1CF	8.7218
A2LD1	3.19003
A2M	95.1385
A2ML1	0
A2MP1	0.0477215
A4GALT	2.45795
A4GNT	0
AA06	0
AAAS	11.5154
AACS	9.61719
AACSP1	0
AADAC	0.327098
AADACL2	0.581103
AADACL3	0
AADACL4	0
AADAT	1.49061
AAED1	2.97224
AAGAB	14.8688
AAK1	1.80972
AAMP	55.1279
AANAT	0.0655533
AARD	0.222637
AARS	17.9173
AARS2	3.65442
AARSD1	8.16525
AASDH	2.77093
AASDHPPT	7.14091
AASS	1.17399
AATF	13.9569
AATK	1.43241
AATK-AS1	0
ABAT	11.292
ABCA1	5.78753
ABCA10	0.859882
ABCA11P	2.57814
ABCA12	0
ABCA13	0.0597338
ABCA17P	0.0134835
ABCA2	8.55385
ABCA3	0.841351
ABCA4	0.0126963
ABCA5	8.22639
ABCA6	0.966511
ABCA7	3.19059
ABCA8	9.0522
ABCA9	0.722427
ABCB1	22.2358
ABCB10	8.67436
ABCB11	1.63611
ABCB4	0.576787
ABCB5	0.302539
ABCB6	2.49736
ABCB7	9.8241
ABCB8	3.62326
ABCB9	1.69726
ABCC1	6.78599
ABCC10	4.01504
ABCC11	0.0517609
ABCC12	0
ABCC13	1.47119
ABCC2	0.114237
ABCC3	40.7914
ABCC4	3.91862
ABCC5	9.3497
ABCC5-AS1	0
ABCC6	4.67345
ABCC6P1	1.4569
ABCC6P2	2.73236
ABCC8	0.0841596
ABCC9	1.66657
ABCD1	3.7465
ABCD2	0.539777
ABCD3	42.7193
ABCD4	8.64274
ABCE1	10.5379
ABCF1	13.3423
ABCF2	11.7757
ABCF3	13.7684
ABCG1	16.7843
ABCG2	5.27755
ABCG4	0.104146
ABCG5	0.0869998
ABCG8	0.250469
ABHD1	0.077311
ABHD10	10.6598
ABHD11	25.6483
ABHD11-AS1	13.6678
ABHD12	27.6921
ABHD12B	0.0395229
ABHD13	6.46206
ABHD14A	3.65431
ABHD14A-ACY1	0.221316
ABHD14B	34.6535
ABHD15	7.68782
ABHD16A	20.584
ABHD16B	2.36896
ABHD2	14.511
ABHD3	45.6736
ABHD4	11.2232
ABHD5	8.74921
ABHD6	6.01281
ABHD8	2.09695
ABI1	33.7277
ABI2	2.99579
ABI3	7.5749
ABI3BP	5.42108
ABL1	22.8672
ABL2	1.39048
ABLIM1	26.6361
ABLIM2	2.01089
ABLIM3	1.3406
ABO	29.9471
ABP1	125.999
ABR	36.6839
ABRA	0.0177227
ABRACL	99.3633
ABT1	15.4506
ABTB1	13.2292
ABTB2	3.32744
ACAA1	51.9715
ACAA2	177.485
ACACA	2.69737
ACACB	4.90629
ACAD10	10.4652
ACAD11	2.09509
ACAD8	10.6346
ACAD9	9.46444
ACADL	0
ACADM	48.7239
ACADS	78.1981
ACADSB	9.9959
ACADVL	151.063
ACAN	0.0461845
ACAP1	7.75166
ACAP2	11.9472
ACAP3	7.33178
ACAT1	76.8809
ACAT2	17.0675
ACBD3	18.2754
ACBD4	7.52617
ACBD5	15.2789
ACBD6	9.28221
ACBD7	0.331123
ACCS	2.59767
ACCSL	0
ACD	4.15751
ACE	3.40043
ACE2	13.4417
ACER1	0.141752
ACER2	2.12883
ACER3	6.6934
ACHE	6.63748
ACIN1	22.3232
ACLY	21.3123
ACMSD	0
ACN9	6.67275
ACO1	11.8815
ACO2	61.404
ACOT1	4.50337
ACOT11	15.4855
ACOT12	0.028191
ACOT13	10.7698
ACOT2	22.3095
ACOT4	3.15392
ACOT6	0.0771232
ACOT7	25.1602
ACOT8	20.3669
ACOT9	9.55329
ACOX1	30.2014
ACOX2	6.28006
ACOX3	5.1428
ACOXL	0.197135
ACP1	43.1314
ACP2	19.1804
ACP5	46.315
ACP6	3.8484
ACPL2	2.97789
ACPP	1.32494
ACPT	0
ACR	0.226108
ACRBP	0.946298
ACRC	0.334458
ACRV1	0
ACSBG1	0.0779668
ACSBG2	0.0328836
ACSF2	26.6463
ACSF3	7.11792
ACSL1	3.67441
ACSL3	16.7857
ACSL4	6.07497
ACSL5	108.509
ACSL6	0.256901
ACSM1	0.601753
ACSM2A	0.0125426
ACSM2B	0.017084
ACSM3	19.1755
ACSM4	0
ACSM5	0.296401
ACSS1	12.7674
ACSS2	81.7496
ACSS3	0.690078
ACTA1	0.0992956
ACTA2	92.1247
ACTB	1675.78
ACTBL2	0
ACTC1	0.0149069
ACTG1	1280.62
ACTG1P4	0.0286072
ACTG2	29.1399
ACTL10	1.04879
ACTL6A	28.4226
ACTL6B	0
ACTL7A	0
ACTL7B	0
ACTL8	0.122666
ACTL9	0
ACTN1	24.2024
ACTN2	0.0201813
ACTN3	0
ACTN4	156.28
ACTR10	15.9226
ACTR1A	27.0741
ACTR1B	26.3362
ACTR2	151.716
ACTR3	91.6413
ACTR3B	2.22903
ACTR3BP2	0
ACTR3BP5	0
ACTR3C	2.98278
ACTR5	2.35448
ACTR6	11.3956
ACTR8	5.25994
ACTRT1	0
ACTRT2	0
ACTRT3	0.880919
ACVR1	5.77944
ACVR1B	25.8792
ACVR1C	3.6711
ACVR2A	3.42742
ACVR2B	0.714625
ACVRL1	32.3762
ACY1	18.9661
ACY3	3.3393
ACYP1	8.94036
ACYP2	4.6935
ADA	3.06656
ADAD1	0
ADAD2	0.0270127
ADAL	1.2888
ADAM1	1.07539
ADAM10	29.1838
ADAM11	0.0408084
ADAM12	0.263654
ADAM15	21.6964
ADAM17	4.58455
ADAM18	0
ADAM19	4.99633
ADAM2	0
ADAM20	0
ADAM20P1	0.0582959
ADAM21	0.0423712
ADAM21P1	0
ADAM22	0.923539
ADAM23	0.615603
ADAM28	7.76167
ADAM29	0.0181787
ADAM30	0
ADAM32	0.575359
ADAM33	2.63246
ADAM3A	0
ADAM5P	0
ADAM6	0
ADAM7	0
ADAM8	3.37562
ADAM9	31.2093
ADAMDEC1	157.29
ADAMTS1	19.9471
ADAMTS10	1.24848
ADAMTS12	0.178825
ADAMTS13	0.932185
ADAMTS14	1.08982
ADAMTS15	1.07587
ADAMTS16	0.294292
ADAMTS17	0.672678
ADAMTS18	0.025799
ADAMTS19	0.110347
ADAMTS2	1.42198
ADAMTS20	0
ADAMTS3	0.0995355
ADAMTS4	4.8618
ADAMTS5	1.19689
ADAMTS6	0.0516064
ADAMTS7	0.729177
ADAMTS8	0.334382
ADAMTS9	0.704205
ADAMTS9-AS2	0.316319
ADAMTSL1	2.31167
ADAMTSL2	0.779236
ADAMTSL3	0.934484
ADAMTSL4	3.70767
ADAMTSL5	0.36775
ADAP1	37.8181
ADAP2	4.31424
ADAR	32.1863
ADARB1	1.6568
ADARB2	0
ADARB2-AS1	0
ADAT1	3.72458
ADAT2	0.715555
ADAT3	5.08096
ADC	2.63146
ADCK1	2.64251
ADCK2	12.2242
ADCK3	20.8275
ADCK4	7.2273
ADCK5	6.97395
ADCY1	0.173767
ADCY10	0.0100955
ADCY2	0.311519
ADCY3	7.46977
ADCY4	1.31768
ADCY5	3.18528
ADCY6	29.5313
ADCY7	6.29814
ADCY8	0
ADCY9	6.28773
ADCYAP1	0.746933
ADCYAP1R1	0.267369
ADD1	46.0777
ADD2	0.171743
ADD3	46.0596
ADGB	0.0352767
ADH1A	0.330691
ADH1B	45.6647
ADH1C	478.006
ADH4	0.377808
ADH5	61.249
ADH6	8.0794
ADH7	0
ADHFE1	1.2148
ADI1	76.1864
ADIG	0
ADIPOQ	0.334626
ADIPOQ-AS1	0
ADIPOR1	40.7084
ADIPOR2	29.8887
ADK	11.1057
ADM	14.0902
ADM2	0.963641
ADNP	12.111
ADNP2	5.29474
ADO	5.82429
ADORA1	0.384135
ADORA2A	2.64041
ADORA2B	9.16888
ADORA3	4.0547
ADPGK	15.9009
ADPRH	2.31137
ADPRHL1	2.50828
ADPRHL2	9.21757
ADRA1A	0.128151
ADRA1B	0.229547
ADRA1D	0.238496
ADRA2A	18.7919
ADRA2B	0.359504
ADRA2C	0.563019
ADRB1	0.799591
ADRB2	1.12204
ADRB3	0.0269559
ADRBK1	41.6076
ADRBK2	1.45394
ADRM1	34.2698
ADSL	17.0521
ADSS	19.6389
ADSSL1	0.731621
ADTRP	76.5402
AEBP1	16.8993
AEBP2	5.25589
AEN	3.51728
AES	196.155
AFAP1	5.9084
AFAP1-AS1	0.112617
AFAP1L1	0.855618
AFAP1L2	3.85385
AFF1	9.95606
AFF2	0.309758
AFF3	0.934489
AFF4	10.86
AFG3L1P	2.74095
AFG3L2	46.2561
AFM	0
AFMID	5.97123
AFP	0
AFTPH	19.2622
AGA	8.25683
AGAP1	8.70965
AGAP11	0.420324
AGAP2	2.0429
AGAP3	11.1375
AGAP4	1.12416
AGAP5	1.23275
AGAP6	2.00724
AGAP7	0.559729
AGAP8	0.88223
AGAP9	0.457222
AGBL1	0.0137705
AGBL2	0.48847
AGBL3	0.0696065
AGBL4	0.0177457
AGBL5	8.16874
AGER	0.988584
AGFG1	6.20113
AGFG2	18.5851
AGGF1	7.86617
AGK	5.56549
AGL	6.51451
AGMAT	6.94547
AGMO	1.99974
AGPAT1	26.1385
AGPAT2	79.28
AGPAT3	18.1266
AGPAT4	0.452157
AGPAT4-IT1	0.0358875
AGPAT5	7.67064
AGPAT6	9.58925
AGPAT9	15.2674
AGPHD1	1.03523
AGPS	13.4692
AGR2	275.3
AGR3	162.253
AGRN	11.3204
AGRP	0.157659
AGSK1	1.15831
AGT	2.07769
AGTPBP1	1.96582
AGTR1	0.795553
AGTR2	0
AGTRAP	7.76382
AGXT	0.207232
AGXT2	0
AGXT2L1	0
AGXT2L2	26.9793
AHCTF1	4.43792
AHCY	48.1364
AHCYL1	33.4873
AHCYL2	98.4755
AHDC1	1.80526
AHI1	2.36338
AHNAK	33.5764
AHNAK2	0.277991
AHR	8.74864
AHRR	0.598614
AHSA1	52.78
AHSA2	7.22137
AHSG	0.267292
AHSP	0
AICDA	0.951759
AIDA	17.4481
AIF1	31.6382
AIF1L	1.90971
AIFM1	25.6985
AIFM2	9.15417
AIFM3	21.0388
AIG1	11.7651
AIM1	18.9237
AIM1L	2.30345
AIM2	1.59351
AIMP1	18.789
AIMP2	13.7648
AIP	27.6535
AIPL1	0
AIRE	0.0890275
AIRN	0
AJAP1	0.0351152
AJUBA	0.800012
AK1	7.80568
AK2	50.5402
AK3	22.3375
AK4	3.51184
AK5	0.163064
AK7	0.879577
AK8	0.065162
AKAP1	49.5221
AKAP10	6.38483
AKAP11	6.47616
AKAP12	3.16553
AKAP13	18.6511
AKAP14	0
AKAP17A	15.6836
AKAP2	9.78475
AKAP3	0.0736177
AKAP4	0
AKAP5	2.84982
AKAP6	0.209369
AKAP7	12.0831
AKAP8	9.91865
AKAP8L	11.5513
AKAP9	10.7322
AKD1	1.78595
AKIP1	7.41485
AKIRIN1	23.8578
AKIRIN2	15.2467
AKIRIN2-AS1	5.16491
AKNA	11.1357
AKNAD1	0
AKR1A1	58.0475
AKR1B1	19.8242
AKR1B10	62.659
AKR1B15	6.44e-06
AKR1C1	2.55614
AKR1C2	3.01807
AKR1C3	113.577
AKR1C4	0.0827428
AKR1CL1	0.0503879
AKR1D1	0.0414732
AKR1E2	0.213073
AKR7A2	16.3938
AKR7A2P1	0
AKR7A3	50.6885
AKR7L	1.01973
AKT1	41.6859
AKT1S1	16.9009
AKT2	16.9054
AKT3	1.83217
AKTIP	10.9768
ALAD	21.9811
ALAS1	26.0106
ALAS2	0
ALB	8.51014
ALCAM	4.14526
ALDH16A1	10.9012
ALDH18A1	58.8389
ALDH1A1	44.568
ALDH1A2	0.0340567
ALDH1A3	3.15652
ALDH1B1	23.7635
ALDH1L1	1.81792
ALDH1L1-AS1	0
ALDH1L1-AS2	0
ALDH1L2	0.926681
ALDH2	145.195
ALDH3A1	4.03889
ALDH3A2	27.6612
ALDH3B1	5.52172
ALDH3B2	0.0391162
ALDH4A1	2.06521
ALDH5A1	7.0696
ALDH6A1	12.1185
ALDH7A1	14.025
ALDH8A1	0.110132
ALDH9A1	41.2616
ALDOA	430.405
ALDOB	5.76001
ALDOC	6.15057
ALG1	4.5964
ALG10	1.55487
ALG10B	0.885089
ALG11	5.90346
ALG12	10.8496
ALG13	7.82469
ALG14	19.6346
ALG1L	0.638038
ALG1L2	0.521024
ALG2	13.7324
ALG3	17.6289
ALG5	23.6643
ALG6	4.3352
ALG8	11.9764
ALG9	2.44948
ALK	0.0202269
ALKBH1	2.34359
ALKBH2	3.60627
ALKBH3	6.0183
ALKBH4	2.19627
ALKBH5	22.614
ALKBH6	5.42269
ALKBH7	46.5154
ALKBH8	1.63986
ALLC	0
ALMS1	1.30912
ALMS1P	0.0258678
ALOX12	0.136143
ALOX12B	0.0418101
ALOX12P2	0.0171175
ALOX15	0.942186
ALOX15B	0.648069
ALOX15P1	0
ALOX5	6.49714
ALOX5AP	16.6561
ALOXE3	0
ALPI	8.43368
ALPK1	2.75961
ALPK2	0.360274
ALPK3	0.124981
ALPL	0.677136
ALPP	0
ALPPL2	0
ALS2	3.19362
ALS2CL	5.80424
ALS2CR11	0.0274603
ALS2CR12	0
ALS2CR8	1.14143
ALX1	0
ALX3	0.59536
ALX4	0.00857022
ALYREF	17.9374
AMACR	28.5667
AMBN	0
AMBP	0.979878
AMBRA1	7.415
AMD1	21.5865
AMDHD1	0.105958
AMDHD2	9.08277
AMELX	0
AMELY	0
AMFR	22.5781
AMH	0.0332526
AMHR2	0.0545182
AMICA1	9.14554
AMIGO1	0.648157
AMIGO2	2.49413
AMIGO3	1.29449
AMMECR1	3.03503
AMMECR1L	5.871
AMN	66.1721
AMN1	1.98969
AMOT	2.51219
AMOTL1	1.38655
AMOTL2	5.767
AMPD1	2.01499
AMPD2	6.33975
AMPD3	3.10398
AMPH	0.393323
AMT	12.4279
AMTN	0
AMY1A	0.00568235
AMY1B	1.83e-05
AMY1C	1.62e-06
AMY2A	0.00510008
AMY2B	3.85805
AMZ1	0.0518361
AMZ2	16.505
AMZ2P1	0.984975
ANAPC1	5.68899
ANAPC10	3.24815
ANAPC11	38.3914
ANAPC13	25.9573
ANAPC15	14.4446
ANAPC16	25.5128
ANAPC2	9.55122
ANAPC4	7.51704
ANAPC5	32.1181
ANAPC7	7.74123
ANG	19.1542
ANGEL1	4.50577
ANGEL2	3.13768
ANGPT1	1.17674
ANGPT2	0.358839
ANGPT4	0
ANGPTL1	1.51054
ANGPTL2	7.03613
ANGPTL3	0.0546733
ANGPTL4	0.832319
ANGPTL5	0.0273507
ANGPTL6	2.58435
ANGPTL7	0.123999
ANHX	0
ANK1	0.231027
ANK2	1.38509
ANK3	10.4462
ANKAR	0.206228
ANKDD1A	0.474758
ANKFN1	0
ANKFY1	7.58475
ANKH	13.4769
ANKHD1	13.0012
ANKHD1-EIF4EBP3	3.16067
ANKIB1	8.38465
ANKK1	0.053164
ANKLE1	0.368352
ANKLE2	8.83198
ANKMY1	2.76134
ANKMY2	13.4912
ANKRA2	7.90226
ANKRD1	0
ANKRD10	17.4498
ANKRD11	8.65658
ANKRD12	4.88606
ANKRD13A	19.459
ANKRD13B	0.693154
ANKRD13C	5.98506
ANKRD13D	5.95059
ANKRD16	2.70969
ANKRD17	11.1617
ANKRD18A	0.406904
ANKRD18B	0.00169475
ANKRD18DP	0.0322204
ANKRD19P	0.0446529
ANKRD2	0
ANKRD20A1	0.148412
ANKRD20A11P	0.100675
ANKRD20A12P	0.087276
ANKRD20A2	0.114233
ANKRD20A3	1.74e-06
ANKRD20A4	0.355646
ANKRD20A5P	0.12714
ANKRD20A8P	0.0685936
ANKRD20A9P	0.0558742
ANKRD22	3.1085
ANKRD23	0.476636
ANKRD24	0.460868
ANKRD26	1.10729
ANKRD26P1	0
ANKRD26P3	0
ANKRD27	7.73553
ANKRD28	9.10957
ANKRD29	0.750808
ANKRD30A	0
ANKRD30B	0
ANKRD30BL	0
ANKRD30BP2	0
ANKRD31	0
ANKRD32	1.35685
ANKRD33	0.0262072
ANKRD33B	1.20629
ANKRD34A	0.099624
ANKRD34B	0
ANKRD34C	0
ANKRD35	0.532643
ANKRD36	0.722483
ANKRD36B	1.11269
ANKRD36BP1	1.20556
ANKRD36BP2	5.12456
ANKRD37	7.08622
ANKRD39	4.76022
ANKRD40	7.3283
ANKRD42	1.10667
ANKRD44	3.4053
ANKRD45	0.0508553
ANKRD46	5.47451
ANKRD49	6.10812
ANKRD5	2.31845
ANKRD50	2.87422
ANKRD52	7.13023
ANKRD53	0.117258
ANKRD54	5.73163
ANKRD55	0.0952911
ANKRD6	0.568116
ANKRD62P1-PARP4P3	0
ANKRD63	0
ANKRD65	0.740142
ANKRD7	0
ANKRD9	30.3208
ANKS1A	7.45388
ANKS1B	0.105471
ANKS3	1.83308
ANKS4B	16.1778
ANKS6	2.64596
ANKUB1	0
ANKZF1	7.40879
ANLN	2.46269
ANO1	3.07415
ANO10	28.9287
ANO2	0.258351
ANO3	0.0101918
ANO4	0.0128058
ANO5	1.25963
ANO6	5.82305
ANO7	6.28821
ANO8	2.49567
ANO9	18.6432
ANP32A	45.4959
ANP32A-IT1	0.0165926
ANP32AP1	0.0748096
ANP32B	58.357
ANP32C	0
ANP32D	0
ANP32E	16.1987
ANPEP	151.129
ANTXR1	8.16867
ANTXR2	29.0708
ANTXRL	0
ANXA1	44.4876
ANXA10	0.0405047
ANXA11	84.6729
ANXA13	14.2729
ANXA2	425.008
ANXA2P1	0.0370086
ANXA2P2	1.36438
ANXA2P3	0
ANXA2R	1.29023
ANXA3	9.70046
ANXA4	108.444
ANXA5	61.1579
ANXA6	23.6099
ANXA7	49.9628
ANXA8	0
ANXA8L1	0
ANXA8L2	0
ANXA9	0.685787
AOAH	8.42752
AOAH-IT1	0
AOC2	0.103349
AOC3	9.2642
AOC4	0.0428741
AOX1	1.76978
AOX2P	0
AP1AR	21.2833
